,CountryCode,ShortName,TableName,LongName,Alpha2Code,CurrencyUnit,SpecialNotes,Region,IncomeGroup,Wb2Code,NationalAccountsBaseYear,NationalAccountsReferenceYear,SnaPriceValuation,LendingCategory,OtherGroups,SystemOfNationalAccounts,AlternativeConversionFactor,PppSurveyYear,BalanceOfPaymentsManualInUse,ExternalDebtReportingStatus,SystemOfTrade,GovernmentAccountingConcept,ImfDataDisseminationStandard,LatestPopulationCensus,LatestHouseholdSurvey,SourceOfMostRecentIncomeAndExpenditureData,VitalRegistrationComplete,LatestAgriculturalCensus,LatestIndustrialData,LatestTradeData,LatestWaterWithdrawalData,gaseous,co2,liq,solid,life,population,export
10,ABW,Aruba,Aruba,Aruba,AW,Aruban florin,SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000.,Latin America & Caribbean,High income: nonOECD,AW,2000,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,,,2010,,,Yes,,,2012.0,,0.0,2456.89,100.0,0.0,74.95353658536591,101597.0,28.727777373691602
11,AUS,Australia,Australia,Commonwealth of Australia,AU,Australian dollar,Fiscal year end: June 30; reporting period for national accounts data: FY. Value added current series updated by the Australian Bureau of Statistics; data revised from 1990 onward; Australia reports using SNA 2008.,East Asia & Pacific,High income: OECD,AU,Original chained constant price data are rescaled.,2013/14,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,"Expenditure survey/budget survey (ES/BS), 2003",Yes,2011,2011.0,2013.0,2000.0,16.307606497943198,368170.467,29.681975279130697,52.665810101492994,81.6951219512195,22031750.0,54.4718409109947
12,AUT,Austria,Austria,Republic of Austria,AT,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: OECD,AT,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology.,,Rolling,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011. Population data compiled from administrative registers.,,"Integrated household survey (IHS), 2004",Yes,2010,2010.0,2013.0,2002.0,27.6797755839672,67975.179,50.132168096239994,19.069968171764604,80.58048780487809,8363404.0,87.83368876778691
13,AZE,Azerbaijan,Azerbaijan,Republic of Azerbaijan,AZ,New Azeri manat,April 2012 database update: National accounts historical expenditure series in constant prices were revised in line with State Statistical Committee data that were not previously available.,Europe & Central Asia,Upper middle income,AZ,2000,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,199295,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2009,"Demographic and Health Survey (DHS), 2006","Living Standards Measurement Study Survey (LSMS), 2011/12",Yes,2015,2011.0,2013.0,2012.0,58.6182165909634,30678.122000000003,28.3648099450155,0.071718862060722,70.4502926829268,9054332.0,76.615233757028
14,BHR,Bahrain,Bahrain,Kingdom of Bahrain,BH,Bahraini dinar,Based on official government statistics; the new base year is 2010.,Middle East & North Africa,High income: nonOECD,BH,2010,,Value added at producer prices (VAP),,,Country uses the 1968 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,,,Yes,,2010.0,2011.0,2003.0,79.6562056457972,23252.447,18.845607948273106,0.0,76.1275609756098,1261319.0,18.1766029961193
15,BGD,Bangladesh,Bangladesh,People's Republic of Bangladesh,BD,Bangladeshi taka,Fiscal year end: June 30; reporting period for national accounts data: FY. The new base year is 2005/06.,South Asia,Lower middle income,BD,2005/06,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Preliminary,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2011,"Demographic and Health Survey (DHS), 2014; HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2014","Integrated household survey (IHS), 2010",,2008,,2007.0,2008.0,67.2761705740221,56152.77099999999,22.177235029060306,6.10592307189969,70.0802926829268,151616777.0,74.64940999121251
16,BRB,Barbados,Barbados,Barbados,BB,Barbados dollar,,Latin America & Caribbean,High income: nonOECD,BB,1974,,Value added at producer prices (VAP),,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2012",,Yes,2010. Population and Housing Census.,,2013.0,2005.0,1.93236714975845,1518.138,87.9227053140097,0.0,74.8452926829268,279566.0,51.379151202382296
17,BLR,Belarus,Belarus,Republic of Belarus,BY,Belarusian rubel,,Europe & Central Asia,Upper middle income,BY,Original chained constant price data are rescaled.,2000,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,199095,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2009,"Multiple Indicator Cluster Survey (MICS), 2012","Integrated household survey (IHS), 2013",Yes,,2011.0,2013.0,2000.0,66.8081093823668,62221.655999999995,26.491041961339,3.07048561999057,70.4048780487805,9490000.0,72.6260722606809
18,BEL,Belgium,Belgium,Kingdom of Belgium,BE,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: OECD,BE,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology.,,Rolling,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,"Integrated household survey (IHS), 2000",Yes,2010,2010.0,2013.0,2007.0,35.6873949579832,109093.25,49.3915966386555,10.934453781512596,80.2341463414634,10920272.0,87.9041427675008
19,BLZ,Belize,Belize,Belize,BZ,Belize dollar,,Latin America & Caribbean,Upper middle income,BZ,2000,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2011","Labor force survey (LFS), 1999",,,,2013.0,2000.0,2.64900662251656,553.717,97.3509933774834,0.0,69.7820487804878,321609.0,69.9616446455578
20,BEN,Benin,Benin,Republic of Benin,BJ,West African CFA franc,,Sub-Saharan Africa,Low income,BJ,2007,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,1992,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2013,"Multiple Indicator Cluster Survey (MICS), 2014","Core Welfare Indicator Questionnaire Survey (CWIQ), 2011/12",,2011/12,,2013.0,2001.0,0.0,5152.135,86.1921708185053,0.0,58.7297073170732,9509798.0,9.59489930204807
21,BMU,Bermuda,Bermuda,The Bermudas,BM,Bermuda dollar,,North America,High income: nonOECD,BM,2006,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",,General trade system,,,2010,,,Yes,,,2013.0,,0.0,476.71,100.0,0.0,79.2885365853658,65124.0,43.043538671823995
22,BTN,Bhutan,Bhutan,Kingdom of Bhutan,BT,Bhutanese ngultrum,April 2013 database update: Data were updated using the government of Bhutan macroeconomic framework.,South Asia,Lower middle income,BT,2000,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2005,"Multiple Indicator Cluster Survey (MICS), 2010","Integrated household survey (IHS), 2012",,2009,,2011.0,2008.0,0.0,487.711,63.9097744360902,15.7894736842105,67.8924146341463,720246.0,
23,BOL,Bolivia,Bolivia,Plurinational State of Bolivia,BO,Bolivian Boliviano,,Latin America & Caribbean,Lower middle income,BO,1990,,Value added at basic prices (VAB),Blend,HIPC,Country uses the 1968 System of National Accounts methodology.,196085,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2012,"Demographic and Health Survey (DHS), 2008","Integrated household survey (IHS), 2012",,2013,,2013.0,2000.0,38.915432393693294,15350.062,52.0544672718586,0.0,66.40775609756099,9918245.0,50.907446535691214
24,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,Bosnia and Herzegovina convertible mark,Based on official government statistics for chain linked series; the new reference year is 2010.,Europe & Central Asia,Upper middle income,BA,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2013,"Multiple Indicator Cluster Survey (MICS), 2011/12","Living Standards Measurement Study Survey (LSMS), 2007",Yes,,,2013.0,2012.0,2.16750476851049,21147.589,21.1028264262181,74.51014392231659,75.8076829268293,3835258.0,91.2687002438857
25,BWA,Botswana,Botswana,Republic of Botswana,BW,Botswana pula,"Fiscal year end: March 31; reporting period for national accounts data: CY. Based on official government statistics, national accounts data have been revised from 2006 onward; the new base year is 2006. Data before 2006 were reported on a fiscal year basis.",Sub-Saharan Africa,Upper middle income,BW,2006,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Estimate,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2000","Expenditure survey/budget survey (ES/BS), 2009/10",,2011. Population and Housing Census.,2011.0,2013.0,2000.0,0.0,5232.809,49.6846531184303,50.3153468815697,63.4022926829268,2047831.0,
26,BRA,Brazil,Brazil,Federative Republic of Brazil,BR,Brazilian real,,Latin America & Caribbean,Upper middle income,BR,1995,2000,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"World Health Survey (WHS), 2003","Integrated household survey (IHS), 2012",,2006,2011.0,2013.0,2010.0,12.555474018939801,419754.156,65.2488031589615,13.947129328720699,73.2641463414634,198614208.0,61.045173609192
27,BRN,Brunei,Brunei Darussalam,Brunei Darussalam,BN,Brunei dollar,,East Asia & Pacific,High income: nonOECD,BN,2000,,Value added at producer prices (VAP),,,Country uses the 1993 System of National Accounts methodology.,,2011,,,Special trade system,,General Data Dissemination System (GDDS),2011,,,Yes,,,2013.0,1994.0,71.2702472293265,8602.782,21.9522591645354,0.0,77.5982682926829,393302.0,80.8065191896804
28,BGR,Bulgaria,Bulgaria,Republic of Bulgaria,BG,Bulgarian lev,The new reference year for chain linked series is 2010. April 2011 database update: The National Statistical Office revised national accounts data from 1995 onward. GDP in current prices were about 4 percent higher than previous estimates.,Europe & Central Asia,Upper middle income,BG,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,"197889, 199192",Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Living Standards Measurement Study Survey (LSMS), 2007","Expenditure survey/budget survey (ES/BS), 2012",Yes,2010,2011.0,2013.0,2009.0,11.941166694366,44128.678,25.2783779292006,60.561741731759994,73.5121951219512,7395599.0,62.1645846697181
29,BFA,Burkina Faso,Burkina Faso,Burkina Faso,BF,West African CFA franc,,Sub-Saharan Africa,Low income,BF,1999,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,199293,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2006,"Malaria Indicator Survey (MIS), 2014","Core Welfare Indicator Questionnaire Survey (CWIQ), 2009",,2010,,2013.0,2005.0,0.0,1683.1529999999998,99.12854030501093,0.0,57.0513902439024,15632066.0,37.8268868305187
30,BDI,Burundi,Burundi,Republic of Burundi,BI,Burundi franc,,Sub-Saharan Africa,Low income,BI,2005,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2008,"Malaria Indicator Survey (MIS), 2012","Core Welfare Indicator Questionnaire Survey (CWIQ), 2006",,,2010.0,2012.0,2000.0,0.0,194.351,92.4528301886792,9.433962264150939,54.8291951219512,9461117.0,75.08517491722691
31,CPV,Cabo Verde,Cabo Verde,Republic of Cabo Verde,CV,Cabo Verde escudo,"Cabo Verde is the new name for the country previously listed as Cape Verde. Based on official government statistics and IMF data, national accounts data have been revised from 1990 onward; the new base year is 2007.",Sub-Saharan Africa,Lower middle income,CV,2007,,Value added at producer prices (VAP),Blend,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Demographic and Health Survey (DHS), 2005","Core Welfare Indicator Questionnaire Survey (CWIQ), 2007",Yes,2014,,2013.0,2001.0,0.0,293.36,100.0,0.0,72.59790243902441,490379.0,95.72743805722081
32,KHM,Cambodia,Cambodia,Kingdom of Cambodia,KH,Cambodian riel,,East Asia & Pacific,Low income,KH,2000,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2008,"Demographic and Health Survey (DHS), 2014","Integrated household survey (IHS), 2011",,2013,,2013.0,2006.0,0.0,4187.714,90.1926444833625,0.43782837127845897,66.3856585365854,14363586.0,91.95463412961807
33,CMR,Cameroon,Cameroon,Republic of Cameroon,CM,Central African CFA franc,,Sub-Saharan Africa,Lower middle income,CM,2000,,Value added at basic prices (VAB),Blend,HIPC,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2005,"Multiple Indicator Cluster Survey (MICS), 2014","Priority survey (PS), 2007",,,,2012.0,2000.0,8.85729907053034,6706.943,83.6522689994533,0.0,53.6948292682927,20590666.0,63.34704763998139
34,CAN,Canada,Canada,Canada,CA,Canadian dollar,Fiscal year end: March 31; reporting period for national accounts data: CY.,North America,High income: OECD,CA,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,"Labor force survey (LFS), 2010",Yes,2011,2011.0,2013.0,1986.0,36.333330869472,496104.763,44.2452823215487,17.5771866153198,80.89348780487809,34005274.0,90.86478260452179
35,CSS,Caribbean small states,Caribbean small states,Caribbean small states,S3,,"Caribbean small states aggregate. Includes Antigua and Barbuda, The Bahamas, Barbados, Belize, Guyana, Suriname, Dominica, Grenada, Jamaica, St. Kitts and Nevis, St. Lucia, St. Vincent and the Grenadines, and Trinidad and Tobago.",,,S3,,,,,,,,,,,,,,,,,,,,,,65.8093150098925,68576.567,32.6773969306454,0.122988075503984,71.3849238773967,6854569.0,74.3841373663245
36,CYM,Cayman Islands,Cayman Islands,Cayman Islands,KY,Cayman Islands dollar,,Latin America & Caribbean,High income: nonOECD,KY,2007,,,,,Country uses the 1993 System of National Accounts methodology.,,2011,,,General trade system,,,2010,,,Yes,,,,,0.0,564.7180000000001,100.0,0.0,,55509.0,
37,CAF,Central African Republic,Central African Republic,Central African Republic,CF,Central African CFA franc,,Sub-Saharan Africa,Low income,CF,2000,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2003,"Multiple Indicator Cluster Survey (MICS), 2010","Priority survey (PS), 2008",,,,2011.0,2005.0,0.0,264.024,100.0,0.0,47.6253170731707,4444973.0,48.9089682010658
38,CEB,Central Europe and the Baltics,Central Europe and the Baltics,Central Europe and the Baltics,B8,,Central Europe and the Baltics aggregate.,,,B8,,,,,,,,,,,,,,,,,,,,,,18.040882889905397,715050.332,24.466655726271306,54.6841986502287,75.29534872880002,104543801.0,86.58604489079
39,TCD,Chad,Chad,Republic of Chad,TD,Central African CFA franc,"Based on IMF data, national accounts data have been revised for 2005 onward; the new base year is 2005.",Sub-Saharan Africa,Low income,TD,2005,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Estimate,Special trade system,,General Data Dissemination System (GDDS),2009,"Demographic and Health Survey (DHS), 2014","Priority survey (PS), 2011",,2010/ 2011,,1995.0,2005.0,0.0,517.047,100.0,0.0,49.862073170731705,11896380.0,82.19196479469991
40,CHI,Channel Islands,Channel Islands,Channel Islands,,Pound sterling,,Europe & Central Asia,High income: nonOECD,JG,2003,2007,Value added at basic prices (VAB),,,Country uses the 1968 System of National Accounts methodology.,,,,,,,,Guernsey: 2009; Jersey: 2011.,,,Yes. Vital registration for Guernsey and Jersey.,,,,,,,,,80.0103658536585,159583.0,
41,CHL,Chile,Chile,Republic of Chile,CL,Chilean peso,,Latin America & Caribbean,High income: OECD,CL,2008,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2012,,"Integrated household survey (IHS), 2011",Yes,2007,,2013.0,2006.0,14.163917787363602,72258.235,60.192844455721904,22.9028165440244,80.2758048780488,17015048.0,53.975313019139904
42,CHN,China,China,People's Republic of China,CN,Chinese yuan,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong; and on 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Based on data from the National Bureau of Statistics, the methodology for national accounts exports and imports of goods and services in constant prices have been revised from 2000 onward.",East Asia & Pacific,Upper middle income,CN,2000,,Value added at producer prices (VAP),IBRD,,Country uses the 1993 System of National Accounts methodology.,197893,2011,"IMF Balance of Payments Manual, 6th edition.",Preliminary,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2010,"National Sample Survey on Population Change (NSS), 2013","Integrated household survey (IHS), 2012",,2007,2007.0,2013.0,2005.0,2.38411401894394,8256969.232000001,13.869234568076699,72.7540485038833,74.8850243902439,1337705000.0,77.02322426718791
43,COL,Colombia,Colombia,Republic of Colombia,CO,Colombian peso,,Latin America & Caribbean,Upper middle income,CO,2005,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,199294,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2006,"Demographic and Health Survey (DHS), 2010","Integrated household survey (IHS), 2012",,2013,2011.0,2013.0,2008.0,23.9850676621559,78583.81,49.4867008866076,19.132057862809106,73.2778536585366,45918101.0,71.9181777737698
44,COM,Comoros,Comoros,Union of the Comoros,KM,Comorian franc,,Sub-Saharan Africa,Low income,KM,1990,,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,,2011,,Actual,Special trade system,,General Data Dissemination System (GDDS),2003,"Demographic and Health Survey (DHS), 2012","Integrated household survey (IHS), 2004",,,,2009.0,1999.0,0.0,132.012,100.0,0.0,61.830512195122004,698695.0,57.0555324514956
45,COG,Congo,"Congo, Rep.",Republic of Congo,CG,Central African CFA franc,"April 2013 database update: Based on IMF data, national accounts data were revised for 1990 onward; the base year changed to 1990.",Sub-Saharan Africa,Lower middle income,CG,1990,,Value added at producer prices (VAP),Blend,HIPC,Country uses the 1968 System of National Accounts methodology.,1993,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2007,"Demographic and Health Survey (DHS), 2011/12","Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2011",,2013,2009.0,2013.0,2002.0,10.095238095238098,1925.175,87.8095238095238,0.0,59.1431219512195,4066078.0,59.861451695515214
46,CRI,Costa Rica,Costa Rica,Republic of Costa Rica,CR,Costa Rican colon,,Latin America & Caribbean,Upper middle income,CR,1991,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2011","Integrated household survey (IHS), 2012",Yes,2014,2011.0,2013.0,2013.0,0.0,7568.688,88.56589147286819,3.0523255813953503,78.73604878048779,4545273.0,66.6323282536956
47,CIV,Côte d'Ivoire,Côte d'Ivoire,Republic of Côte d'Ivoire,CI,West African CFA franc,The new base year is 2009.,Sub-Saharan Africa,Lower middle income,CI,2009,,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2014,"Demographic and Health Survey (DHS), 2011/12","Integrated household survey (IHS), 2008",,2014,,2013.0,2005.0,51.6510903426791,5885.535,45.98130841121501,0.0,50.1514634146342,20131707.0,59.9635990654191
